Codigo do Investidor,Data de Adesao,Estado Civil,Genero,Profissao,Idade,UF do Investidor,Cidade do Investidor,Pais do Investidor,Situacao da Conta,Operou 12 Meses
5091262,24/01/2019,Solteiro(a),F,ANALISTA DE SISTEMAS,43,SP,SAO PAULO,BRASIL,A,S
5097236,13/04/2021,Solteiro(a),M,OUTROS,30,GO,FORMOSA,BRASIL,A,S
5110199,28/01/2019,Desquitado(a),M,OUTROS,33,PR,CURITIBA,BRASIL,A,S
5110236,04/05/2021,Desquitado(a),M,ENGENHEIRO,39,PB,JOAO PESSOA,BRASIL,A,S
5122035,04/03/2022,Desquitado(a),M,OUTROS,32,MG,VICOSA,BRASIL,A,S
5101753,19/09/2022,Solteiro(a),M,MILITAR EM GERAL,28,BA,SALVADOR,BRASIL,A,N
5113296,14/01/2020,Solteiro(a),M,OUTROS,41,SP,SANTOS,BRASIL,A,S
5113334,13/04/2021,Solteiro(a),F,SERVIDOR PÚBLICO MUNICIPAL,36,BA,SALVADOR,BRASIL,A,N
2348117,31/08/2017,Desquitado(a),M,CONTADOR,48,DF,BRASILIA,BRASIL,A,N
2350335,31/08/2017,Casado(a) com brasileiro(a) naturalizado(a),F,COMISSÁRIO DE BORDO,46,SP,SAO PAULO,BRASIL,A,S
2376685,27/09/2017,Solteiro(a),M,OUTROS,39,RJ,RIO DE JANEIRO,BRASIL,A,S
2376695,11/09/2017,Solteiro(a),M,OUTROS,32,RJ,RIO DE JANEIRO,BRASIL,A,S
2366060,28/04/2021,Solteiro(a),F,SERVIDOR PÚBLICO MUNICIPAL,53,RJ,DUQUE DE CAXIAS,BRASIL,A,S
2371634,08/09/2017,Solteiro(a),M,OUTROS,44,SP,BARUERI,BRASIL,A,S
2350568,31/08/2017,Solteiro(a),M,"SUPERIOR, INSPETOR E AGENTE DE COMPRAS E VENDAS",36,RS,SANTA MARIA,BRASIL,A,N
2378987,01/11/2017,Solteiro(a),M,ANALISTA DE SISTEMAS,35,SP,SAO JOSE DOS CAMPOS,BRASIL,A,S
2377171,28/04/2021,Desquitado(a),F,SERVIDOR PÚBLICO FEDERAL,39,RJ,RIO DE JANEIRO,BRASIL,A,N
2355765,04/09/2017,Solteiro(a),F,MÉDICO,38,RS,PORTO ALEGRE,BRASIL,A,S
2358150,06/07/2021,Solteiro(a),F,OUTROS,41,SP,ARARAQUARA,BRASIL,A,S
2377613,11/09/2017,Desquitado(a),M,ENGENHEIRO,59,SP,SAO PAULO,BRASIL,D,S
2383039,12/09/2017,Solteiro(a),F,OUTROS,29,SC,BLUMENAU,BRASIL,A,S
10152117,17/03/2022,Solteiro(a),F,ENFERMEIRO E NUTRICIONISTA,49,ES,VILA VELHA,BRASIL,A,N
10158096,12/07/2021,Solteiro(a),M,ESTUDANTE,24,RJ,SAO GONCALO,BRASIL,A,N
10215523,22/12/2022,Desquitado(a),M,DIRETOR DE EMPRESAS,30,SP,MOCOCA,BRASIL,A,N
10172060,23/03/2023,Desquitado(a),F,CONTADOR,35,PR,MARINGA,BRASIL,A,N
10194878,16/10/2023,Desquitado(a),M,OUTROS,45,RJ,RIO DE JANEIRO,BRASIL,A,N
10159389,05/10/2023,Solteiro(a),F,OUTROS,27,MT,CUIABA,BRASIL,A,S
10199329,11/11/2021,Solteiro(a),F,OUTROS,25,MS,CAMPO GRANDE,BRASIL,A,N
10153636,19/01/2022,Divorciado(a),F,AGENTE ADMINISTRATIVO,51,SP,SAO CAETANO DO SUL,BRASIL,A,N
10163909,29/06/2023,Desquitado(a),M,OUTROS,38,MG,BELO HORIZONTE,BRASIL,A,S
10191625,03/03/2020,Desquitado(a),M,ANALISTA DE SISTEMAS,43,SP,SANTO ANDRE,BRASIL,A,S
15639658,10/12/2020,Casado(a) com brasileiro(a) naturalizado(a),M,BANCARIO E ECONOMIÁRIO,38,SP,SAO BERNARDO DO CAMPO,BRASIL,A,S
15643451,10/10/2023,Divorciado(a),M,OUTROS,36,SP,MOGI DAS CRUZES,BRASIL,A,N
15650683,03/11/2022,Solteiro(a),M,"SUPERIOR, INSPETOR E AGENTE DE COMPRAS E VENDAS",31,BA,LAURO DE FREITAS,BRASIL,A,S
15684627,21/12/2021,Solteiro(a),M,OUTROS,47,GO,ALEXANIA,BRASIL,A,S
15651377,11/06/2021,Solteiro(a),M,ANALISTA DE SISTEMAS,48,SP,SAO PAULO,BRASIL,A,S
15656731,11/12/2020,Solteiro(a),M,APOSENTADO (EXCETO FUNCIONÁRIO PÚBLICO),62,MG,LAVRAS,BRASIL,A,S
15678180,10/10/2022,Divorciado(a),M,ANALISTA DE SISTEMAS,50,SP,SAO JOSE DOS CAMPOS,BRASIL,A,N
28864937,24/04/2023,Divorciado(a),F,EMPREGADO DOMÉSTICO,59,SP,MOGI DAS CRUZES,BRASIL,A,S
28826378,04/01/2022,Solteiro(a),F,EMPRESÁRIO,32,AL,MACEIO,BRASIL,A,N
28826530,04/01/2022,Solteiro(a),M,ESTUDANTE,23,MS,TRES LAGOAS,BRASIL,A,N
28907434,05/01/2022,Casado(a) com brasileiro(a) nato(a),M,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,45,SP,SAO PAULO,BRASIL,A,N
28633267,28/12/2021,Divorciado(a),M,BOMBEIRO,37,RJ,RIO DE JANEIRO,BRASIL,A,N
28620575,28/12/2021,Desquitado(a),M,OUTROS,36,PE,VITORIA DE SANTO ANTAO,BRASIL,A,N
12167435,15/07/2021,Solteiro(a),M,OUTROS,27,RJ,NITEROI,BRASIL,A,N
12138992,15/06/2020,Solteiro(a),M,ADMINISTRADOR,37,SP,RIBEIRAO PRETO,BRASIL,A,S
12144572,26/03/2021,Solteiro(a),M,OUTROS,27,SP,SAO PAULO,BRASIL,A,S
12144603,15/09/2020,Solteiro(a),M,GERENTE,34,SC,CAPIVARI DE BAIXO,BRASIL,A,N
12096271,28/04/2021,Solteiro(a),F,ADMINISTRADOR,43,RJ,RIO DE JANEIRO,BRASIL,A,N
12128914,23/04/2021,Solteiro(a),F,SERVIDO PÚBLICO ESTADUAL,53,MG,JANUARIA,BRASIL,A,S
12124896,07/07/2021,Divorciado(a),F,FONOAUDIÓLOGO,44,RN,PARNAMIRIM,BRASIL,D,N
12118214,20/09/2023,Solteiro(a),M,OUTROS,27,PE,OLINDA,BRASIL,A,S
27166095,04/08/2022,Desquitado(a),F,OUTROS,37,MG,SAO JOSE DA LAPA,BRASIL,A,N
27102780,29/11/2021,Desquitado(a),M,MOTORISTA DE VEICULOS DE TRANSPORTE DE CARGA,36,SP,MAUA,BRASIL,A,N
3684722,27/08/2018,Solteiro(a),M,ANALISTA DE SISTEMAS,34,SP,MOGI GUACU,BRASIL,A,N
3669101,02/12/2024,Desquitado(a),F,OUTROS,55,RS,IJUI,BRASIL,A,N
3674950,13/08/2018,Solteiro(a),F,OUTROS,29,RS,PORTO ALEGRE,BRASIL,D,N
3702482,30/07/2021,Solteiro(a),M,OUTROS,37,SP,SAO PAULO,BRASIL,A,N
3707711,11/11/2021,Desquitado(a),M,OUTROS,64,BA,FEIRA DE SANTANA,BRASIL,A,S
3682070,25/09/2018,Divorciado(a),F,OUTROS,44,RS,PORTO ALEGRE,BRASIL,A,S
3685305,07/10/2022,Solteiro(a),M,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,25,SP,SAO PAULO,BRASIL,A,N
3678244,29/11/2021,Desquitado(a),M,SERVIDOR PÚBLICO MUNICIPAL,49,SP,RIBEIRAO PRETO,BRASIL,A,N
3678322,13/08/2018,Desquitado(a),M,CONTADOR,52,MG,BELO HORIZONTE,BRASIL,A,S
4291396,06/07/2021,Solteiro(a),M,ENGENHEIRO,32,RS,PORTO ALEGRE,BRASIL,A,S
4282791,17/03/2021,Solteiro(a),M,ADMINISTRADOR,33,SP,PIRACICABA,BRASIL,A,S
4295246,13/04/2021,Solteiro(a),M,ENGENHEIRO,29,PE,ITAQUITINGA,BRASIL,D,N
4302261,23/10/2019,Desquitado(a),M,EMPRESÁRIO,40,SP,SAO PAULO,BRASIL,A,S
4305084,06/11/2018,Desquitado(a),M,ADMINISTRADOR,45,SC,INDAIAL,BRASIL,A,S
