Codigo do Investidor,Data da Operacao,Tipo Titulo,Vencimento do Titulo,Quantidade,Valor do Titulo,Valor da Operacao,Tipo da Operacao,Canal da Operacao
1006642,15/05/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2032,"0,30","4289,82","1286,94",C,H
4870664,24/05/2023,Tesouro Selic,01/03/2029,"0,01","0,00","131,18",C,H
5308956,16/05/2023,Tesouro Selic,01/03/2026,"0,01","0,00","131,91",C,H
4604045,25/05/2023,Tesouro Prefixado,01/01/2026,"0,14","760,22","106,43",V,H
25571797,17/05/2023,Tesouro Selic,01/03/2026,"0,12","0,00","1583,48",V,H
3125251,24/05/2023,Tesouro Selic,01/03/2025,"3,79","0,00","50246,91",V,H
788635,18/05/2023,Tesouro Selic,01/03/2026,"2,00","0,00","26413,12",C,H
2704879,02/05/2023,Tesouro Prefixado com Juros Semestrais,01/01/2033,"3,40","908,50","3088,90",C,H
16320985,12/05/2023,Tesouro Selic,01/03/2026,"0,23","0,00","3030,13",C,H
666891,10/05/2023,Tesouro Selic,01/03/2026,"0,52","0,00","6842,37",C,H
3785878,17/05/2023,Tesouro Selic,01/03/2027,"0,53","0,00","6970,66",V,H
23056932,10/05/2023,Tesouro Selic,01/03/2029,"0,01","0,00","130,41",V,H
722484,26/05/2023,Tesouro Selic,01/03/2029,"0,03","0,00","394,16",C,H
26170517,31/05/2023,Tesouro Selic,01/03/2026,"0,19","0,00","2521,26",C,H
9885885,17/05/2023,Tesouro Selic,01/03/2026,"12,00","0,00","158348,16",V,H
15466740,18/05/2023,Tesouro Selic,01/03/2026,"0,08","0,00","1056,23",V,H
247052,12/05/2023,NTN-B1,15/12/2054,"48,00","1249,06","59954,88",C,H
24024252,03/05/2023,Tesouro Selic,01/03/2026,"0,01","0,00","131,20",C,H
9223529,23/05/2023,Tesouro Selic,01/03/2029,"0,01","0,00","131,15",C,H
33325345,24/05/2023,Tesouro IPCA+,15/05/2035,"0,06","2135,33","128,11",C,H
17134017,19/05/2023,Tesouro Selic,01/09/2024,"0,02","0,00","264,84",V,H
15985859,23/05/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2032,"0,01","4271,83","42,71",V,H
28608049,18/05/2023,Tesouro Prefixado,01/01/2025,"0,05","832,82","41,64",V,H
28910667,16/05/2023,Tesouro Selic,01/03/2029,"6,87","0,00","89955,02",C,H
5682690,09/05/2023,Tesouro Prefixado,01/01/2025,"10,96","831,21","9110,06",V,S
34434571,23/05/2023,NTN-B1,15/12/2049,"0,06","1729,47","103,76",C,H
33670,16/05/2023,Tesouro IPCA+,15/05/2029,"0,05","3003,17","150,15",C,S
592900,02/05/2023,Tesouro IPCA+,15/05/2035,"10,00","2052,33","20523,30",C,H
